Id	Name	StageId[1]	StageId[2]	StageId[3]	StageId[4]	LinkStageId[1]	LinkStageId[2]	LinkStageId[3]	LinkStageId[4]	TreasureId[1]	TreasureId[2]	TreasureId[3]	TreasureId[4]	TreasureId[5]	TreasureId[6]	TreasureId[7]	TotalStars	FubenPrefab	GridFubenPrefab	BannerBg	CharacterId	SkipIdDraw	NewCharType	FubenChallengePrefab	GridFubenChallengePrefab	SkipIdChar	ChallengeStage[1]	ChallengeStage[2]	ChallengeStage[3]	SkipIdSkin	MovieId	ChallengeCondition	SkipGet	ShowRewardId	TimeId	MainFullBgPrefab	MainPanelPrefab	CustomUiControlType
1	Refraction	30100836	30100837	30100830	30100831	0	0	0	0	1	2	3					12	Assets/Product/Ui/ComponentPrefab/FuBenNewCharActivity/FuBenNewCharActivity.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageNewCharActivity.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner22.png	1171003	20010	1															
2	Trailblazer Beacon									4	5	6	7				12	Assets/Product/Ui/ComponentPrefab/FunbenKoroTutorial/FunbenKoroTutorial01.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFunbenKoroTutorial01.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner34.png	1121003	20010	2	Assets/Product/Ui/ComponentPrefab/FunbenKoroTutorial/FunbenKoroTutorial02.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFunbenKoroTutorial02.prefab	7403												
3	Warrior's Triumph	30100858	30100859	30100860	30100861	0	0	0	0	8	9	10	11				6	Assets/Product/Ui/ComponentPrefab/FunbenWeiLaTutorial/FunbenWeilaTutorial01.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFunbenWeilaTutorial01.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner42.png	1131003	20010	3	Assets/Product/Ui/ComponentPrefab/FunbenWeiLaTutorial/FunbenWeilaTutorial02.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFunbenWeilaTutorial02.prefab	7403	30160504	30160505		80023	10020							
4	Play of a Loner	30100864	30100865	30100866		0	0	0		12	13	14	15				6	Assets/Product/Ui/ComponentPrefab/FunbenLuolanTutorial/FunbenLuolanTutorial01.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFunbenLuolanTutorial01.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner46.png	1541003	20023	4	Assets/Product/Ui/ComponentPrefab/FunbenLuolanTutorial/FunbenLuolanTutorial02.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFunbenLuolanTutorial02.prefab	7403	30160507	30160506		80023								
5	Glimmering Life	30100868	30100869	30100870	30100871	0	0	0	0	16	17	18	19				6	Assets/Product/Ui/ComponentPrefab/FuBenLifuActivity/FuBenLifuActivity01.prefab	Assets/Product/Ui/ComponentPrefab/FuBenLifuActivity/GridLifuActivityStage01.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner50.png	1031004	7209	5	Assets/Product/Ui/ComponentPrefab/FuBenLifuActivity/FuBenLifuActivity02.prefab	Assets/Product/Ui/ComponentPrefab/FuBenLifuActivity/GridLifuActivityStage02.prefab	7403	30160508	30160509		80023								
6	Accompanist's Song	30100873	30100874	30100875		0	0	0		20	21	22	23				9	Assets/Product/Ui/ComponentPrefab/FuBenSelenaActivity/FuBenSelenaActivity01.prefab	Assets/Product/Ui/ComponentPrefab/FuBenSelenaActivity/GridSelenaActivityStage01.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner54.png	1531004	7209	6	Assets/Product/Ui/ComponentPrefab/FuBenSelenaActivity/FuBenSelenaActivity02.prefab	Assets/Product/Ui/ComponentPrefab/FuBenSelenaActivity/GridSelenaActivityStage02.prefab	82020	30160510	30160511	30160512	80023								
7	Roamer Records	30100878	30100879	30100880		0	0	0		24	25	26	27				9	Assets/Product/Ui/ComponentPrefab/FuBenPulaoActivity/FuBenPulaoActivity01.prefab	Assets/Product/Ui/ComponentPrefab/FuBenPulaoActivity/GridPulaoActivityStage01.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner56.png	1551003	7210	7	Assets/Product/Ui/ComponentPrefab/FuBenPulaoActivity/FuBenPulaoActivity02.prefab	Assets/Product/Ui/ComponentPrefab/FuBenPulaoActivity/GridPulaoActivityStage02.prefab		30160513	30160514	30160515	20111		96000						
8	Robo-Heart	30100907	30100908	30100909	30100910	0	0	0	0	28	29	30	31				9	Assets/Product/Ui/ComponentPrefab/FuBenNanamiActivity/FuBenNanamiActivity01.prefab	Assets/Product/Ui/ComponentPrefab/FuBenNanamiActivity/GridNanamiActivityStage01.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner66.png	1051004	7209	8	Assets/Product/Ui/ComponentPrefab/FuBenNanamiActivity/FuBenNanamiActivity02.prefab	Assets/Product/Ui/ComponentPrefab/FuBenNanamiActivity/GridNanamiActivityStage02.prefab		30160516	30160517	30160518	20111		96001						
9	Godseeker's Psalm	30100915	30100916	30100917		0	0	0		32	33	34	35				9	Assets/Product/Ui/ComponentPrefab/FuBenHachamaActivity/FuBenHachamaActivity01.prefab	Assets/Product/Ui/ComponentPrefab/FuBenHachamaActivity/GridHachamaActivityStage01.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner71.png	1561003	7210	9	Assets/Product/Ui/ComponentPrefab/FuBenHachamaActivity/FuBenHachamaActivity02.prefab	Assets/Product/Ui/ComponentPrefab/FuBenHachamaActivity/GridHachamaActivityStage02.prefab		30160519	30160520	30160521	20111		96002						
10	Nuclear Darkness	30100924	30100925	30100926	30100927	0	0	0	0	36	37	38	39				9	Assets/Product/Ui/ComponentPrefab/FuBenSuperKareninaActivity/FuBenSuperKareninaActivity01.prefab	Assets/Product/Ui/ComponentPrefab/FuBenSuperKareninaActivity/GridSuperKareninaActivityStage01.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner71.png	1071004	7209	10	Assets/Product/Ui/ComponentPrefab/FuBenSuperKareninaActivity/FuBenSuperKareninaActivity02.prefab	Assets/Product/Ui/ComponentPrefab/FuBenSuperKareninaActivity/GridSuperKareninaActivityStage02.prefab		30160522	30160523	30160524	20111		96003						
